title,description,url,img_url,publication_date,publisher
"Özgür Özel, Gezi tutuklularının yakınlarıyla bayramlaştı","CHP Genel Başkanı Özgür Özel, Gezi davasını nedeniyle cezaevinde tutuklu bulunan Can Atalay, Tayfun Kahraman, Osman Kavala’nın yakınlarıyla bayramlaştı.",https://www.cumhuriyet.com.tr/siyaset/ozgur-ozel-gezi-tutuklularinin-yakinlariyla-bayramlasti-2195387?utm_medium=KategoriSayfasi&utm_source=KategoriSayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/11/2195387/kapak_181718.jpg,2024-04-12 00:58:32+03:00,cumhuriyet
1 Milyon TL için mücadele ettiler! Survivor'da ödül oyununu kim kazandı? 11 Nisan Perşembe Survivor'da neler yaşandı?,Survivor All Star 2024 yarışmasında nefes kesen mücadele her hafta olduğu gibi bu hafta da izleyicileri ekran başına kilitliyor. Survivor'da ödül oyununu kim kazandı? 11 Nisan Perşembe Survivor'da neler yaşandı?,https://www.cumhuriyet.com.tr/yasam/1-milyon-tl-icin-mucadele-ettiler-survivorda-odul-oyununu-kim-2195425?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/11/2195425/kapak_224024.jpg,2024-04-11 22:45:29+03:00,cumhuriyet
Yeniden Refah’tan İYİ Parti'ye Bahçeli sorusu: ‘Bahçeli emir buyurdu; Meral Hanım'ı tekrar seçecek misiniz?’,Yeniden Refah Partisi’nin İYİ Parti’ye yönelik bayram ziyareti sırasında Bahçeli’nin Akşener’e ‘partinin başında kal’ açıklamasının hatırlatılması dikkat çekti.,https://www.cumhuriyet.com.tr/siyaset/yeniden-refahtan-iyi-partiye-bahceli-sorusu-bahceli-emir-buyurdu-2195418?utm_medium=KategoriSayfasi&utm_source=KategoriSayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/11/2195418/kapak_220429.jpg,2024-04-11 22:04:38+03:00,cumhuriyet
Datça'da turfanda hasat başladı: Dönümde 5 ton ürün,Muğla'nın Datça ilçesinde turfanda patates üretimi yapılan tarlalarda hasat başladı.,https://www.cumhuriyet.com.tr/yasam/datcada-turfanda-hasat-basladi-donumde-5-ton-urun-2195412?utm_medium=KategoriSayfasi&utm_source=KategoriSayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/11/2195412/kapak_211115.jpg,2024-04-11 21:11:23+03:00,cumhuriyet
Lezzet ve şifa deposu! Doğada kendiliğinden yetişiyor: Kilosu 50 TL,Lezzet ve şifa deposu çiriş otu Erzincan’da tezgahlarda yerini aldı.,https://www.cumhuriyet.com.tr/yasam/lezzet-ve-sifa-deposu-dogada-kendiliginden-yetisiyor-kilosu-50-tl-2195406?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/11/2195406/kapak_195910.jpg,2024-04-11 19:59:16+03:00,cumhuriyet
"Özgür Özel, Ayşe Ateş ile bayramlaştı","CHP lideri Genel Başkanı Özgür Özel, Ankara’nın ortasında suikaste kurban giden eski Ülkü Ocakları Başkanı Sinan Ateş’in eşi Ayşe Ateş’i arayarak Şeker Bayramı’nı kutladı.",https://www.cumhuriyet.com.tr/siyaset/ozgur-ozel-ayse-ates-ile-bayramlasti-2195394?utm_medium=KategoriSayfasi&utm_source=KategoriSayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/11/2195394/kapak_184623.jpg,2024-04-11 19:55:34+03:00,cumhuriyet
Hatay'da ürünler dalında kaldı: Depremzede kadınların elinde reçele dönüştü!,Dalda kalan narenciyenin kabuğu depremzede kadınların elinde reçel oldu,https://www.cumhuriyet.com.tr/yasam/hatayda-urunler-dalinda-kaldi-depremzede-kadinlarin-elinde-recele-2195404?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/11/2195404/kapak_195210.jpg,2024-04-11 19:52:15+03:00,cumhuriyet
Sarıgöl'de ekim başladı: İlk hasat haziran ayında,Manisa'nın Sarıgöl ilçesinde yazlık sebzelerin fidanları toprakla buluşturulmaya başlandı.,https://www.cumhuriyet.com.tr/yasam/sarigolde-ekim-basladi-ilk-hasat-haziran-ayinda-2195403?utm_medium=KategoriSayfasi&utm_source=KategoriSayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/11/2195403/kapak_194436.jpg,2024-04-11 19:44:42+03:00,cumhuriyet
Adana'da 70 ton mahsul tarlada kaldı: Üretici bedavaya dağıttı,"Adana’da bir üretici, ihracat için ektiği lahana tarlada kalınca ücretsiz dağıttı.",https://www.cumhuriyet.com.tr/yasam/adanada-70-ton-mahsul-tarlada-kaldi-uretici-bedavaya-dagitti-2195402?utm_medium=KategoriSayfasi&utm_source=KategoriSayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/11/2195402/kapak_193136.jpg,2024-04-11 19:31:48+03:00,cumhuriyet
Bu tarlada ürünleri müşteri topluyor: Kilosu 100 TL,"Samsun'un Bafra İlçesinde çilek tarlasına gelen müşteriler, alacakları çilekleri seçerek kendileri topluyor.",https://www.cumhuriyet.com.tr/yasam/bu-tarlada-urunleri-musteri-topluyor-kilosu-100-tl-2195397?utm_medium=KategoriSayfasi&utm_source=KategoriSayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/11/2195397/kapak_185934.jpg,2024-04-11 18:59:39+03:00,cumhuriyet
